24/05/2025 05:59:59 | RSI: 38.69 | USDT: 1.52 | DOGE: 0.99 | minNotional: 1.0000
24/05/2025 06:15:00 | RSI: 38.25 | USDT: 0.15 | DOGE: 6.98 | minNotional: 1.0000
24/05/2025 06:30:01 | RSI: 40.51 | USDT: 0.15 | DOGE: 6.98 | minNotional: 1.0000
24/05/2025 06:45:00 | RSI: 40.30 | USDT: 0.00 | DOGE: 7.64 | minNotional: 1.0000
24/05/2025 07:00:00 | RSI: 38.60 | USDT: 0.15 | DOGE: 7.00 | minNotional: 1.0000
24/05/2025 07:15:00 | RSI: 38.39 | USDT: 0.15 | DOGE: 7.00 | minNotional: 1.0000
24/05/2025 07:30:00 | RSI: 41.06 | USDT: 0.15 | DOGE: 7.00 | minNotional: 1.0000
24/05/2025 07:45:00 | RSI: 43.78 | USDT: 0.15 | DOGE: 7.00 | minNotional: 1.0000
24/05/2025 08:00:00 | RSI: 44.53 | USDT: 0.15 | DOGE: 7.00 | minNotional: 1.0000
24/05/2025 08:15:00 | RSI: 45.37 | USDT: 0.15 | DOGE: 7.00 | minNotional: 1.0000
24/05/2025 08:30:00 | RSI: 44.65 | USDT: 0.15 | DOGE: 7.00 | minNotional: 1.0000
24/05/2025 08:45:00 | RSI: 43.01 | USDT: 0.15 | DOGE: 7.00 | minNotional: 1.0000
24/05/2025 09:00:00 | RSI: 42.99 | USDT: 0.15 | DOGE: 7.00 | minNotional: 1.0000
24/05/2025 09:15:00 | RSI: 41.53 | USDT: 0.15 | DOGE: 7.00 | minNotional: 1.0000
24/05/2025 09:30:00 | RSI: 41.93 | USDT: 0.15 | DOGE: 7.00 | minNotional: 1.0000
24/05/2025 09:45:00 | RSI: 41.20 | USDT: 0.15 | DOGE: 7.00 | minNotional: 1.0000
24/05/2025 10:00:00 | RSI: 41.62 | USDT: 0.15 | DOGE: 7.00 | minNotional: 1.0000
24/05/2025 10:15:00 | RSI: 39.49 | USDT: 0.15 | DOGE: 7.00 | minNotional: 1.0000
24/05/2025 10:30:00 | RSI: 41.17 | USDT: 0.15 | DOGE: 7.00 | minNotional: 1.0000
24/05/2025 10:45:00 | RSI: 40.06 | USDT: 0.15 | DOGE: 7.00 | minNotional: 1.0000
24/05/2025 11:00:00 | RSI: 38.50 | USDT: 0.15 | DOGE: 7.00 | minNotional: 1.0000
24/05/2025 11:15:00 | RSI: 40.85 | USDT: 0.15 | DOGE: 7.00 | minNotional: 1.0000
24/05/2025 11:30:00 | RSI: 38.50 | USDT: 0.15 | DOGE: 7.00 | minNotional: 1.0000
24/05/2025 11:45:00 | RSI: 40.62 | USDT: 0.15 | DOGE: 7.00 | minNotional: 1.0000
24/05/2025 12:00:00 | RSI: 42.72 | USDT: 0.15 | DOGE: 7.00 | minNotional: 1.0000
24/05/2025 12:15:00 | RSI: 43.91 | USDT: 0.15 | DOGE: 7.00 | minNotional: 1.0000
24/05/2025 12:30:00 | RSI: 40.95 | USDT: 0.15 | DOGE: 7.00 | minNotional: 1.0000
24/05/2025 12:45:00 | RSI: 40.16 | USDT: 0.15 | DOGE: 7.00 | minNotional: 1.0000
24/05/2025 13:00:00 | RSI: 41.16 | USDT: 0.15 | DOGE: 7.00 | minNotional: 1.0000
24/05/2025 13:15:00 | RSI: 38.39 | USDT: 0.15 | DOGE: 7.00 | minNotional: 1.0000
24/05/2025 13:30:00 | RSI: 38.58 | USDT: 0.15 | DOGE: 7.00 | minNotional: 1.0000
24/05/2025 13:45:00 | RSI: 40.11 | USDT: 0.15 | DOGE: 7.00 | minNotional: 1.0000
24/05/2025 14:00:00 | RSI: 41.03 | USDT: 0.15 | DOGE: 7.00 | minNotional: 1.0000
24/05/2025 14:15:00 | RSI: 43.76 | USDT: 0.15 | DOGE: 7.00 | minNotional: 1.0000
24/05/2025 14:30:00 | RSI: 41.88 | USDT: 0.15 | DOGE: 7.00 | minNotional: 1.0000
24/05/2025 14:45:00 | RSI: 41.21 | USDT: 0.15 | DOGE: 7.00 | minNotional: 1.0000
24/05/2025 15:00:00 | RSI: 40.85 | USDT: 0.15 | DOGE: 7.00 | minNotional: 1.0000
24/05/2025 15:15:00 | RSI: 43.99 | USDT: 0.15 | DOGE: 7.00 | minNotional: 1.0000
24/05/2025 15:30:00 | RSI: 44.36 | USDT: 0.15 | DOGE: 7.00 | minNotional: 1.0000
24/05/2025 15:45:00 | RSI: 42.54 | USDT: 0.15 | DOGE: 7.00 | minNotional: 1.0000
24/05/2025 16:00:00 | RSI: 38.70 | USDT: 0.15 | DOGE: 7.00 | minNotional: 1.0000
24/05/2025 16:15:00 | RSI: 39.21 | USDT: 0.15 | DOGE: 7.00 | minNotional: 1.0000
24/05/2025 16:30:00 | RSI: 39.17 | USDT: 0.15 | DOGE: 7.00 | minNotional: 1.0000
24/05/2025 16:45:00 | RSI: 39.25 | USDT: 0.15 | DOGE: 7.00 | minNotional: 1.0000
24/05/2025 17:00:00 | RSI: 40.60 | USDT: 0.15 | DOGE: 7.00 | minNotional: 1.0000
24/05/2025 17:15:00 | RSI: 41.71 | USDT: 0.15 | DOGE: 7.00 | minNotional: 1.0000
24/05/2025 17:30:00 | RSI: 41.79 | USDT: 0.15 | DOGE: 7.00 | minNotional: 1.0000
24/05/2025 17:45:00 | RSI: 42.12 | USDT: 0.15 | DOGE: 7.00 | minNotional: 1.0000
24/05/2025 18:00:00 | RSI: 41.43 | USDT: 0.15 | DOGE: 7.00 | minNotional: 1.0000
24/05/2025 18:15:00 | RSI: 39.59 | USDT: 0.15 | DOGE: 7.00 | minNotional: 1.0000
24/05/2025 18:30:00 | RSI: 37.88 | USDT: 0.15 | DOGE: 7.00 | minNotional: 1.0000
24/05/2025 18:45:00 | RSI: 38.32 | USDT: 0.15 | DOGE: 7.00 | minNotional: 1.0000
24/05/2025 19:00:00 | RSI: 39.75 | USDT: 0.15 | DOGE: 7.00 | minNotional: 1.0000
24/05/2025 19:15:00 | RSI: 37.84 | USDT: 0.15 | DOGE: 7.00 | minNotional: 1.0000
24/05/2025 19:30:00 | RSI: 37.11 | USDT: 0.15 | DOGE: 7.00 | minNotional: 1.0000
24/05/2025 19:45:00 | RSI: 35.87 | USDT: 0.15 | DOGE: 7.00 | minNotional: 1.0000
24/05/2025 20:00:00 | RSI: 35.25 | USDT: 0.15 | DOGE: 7.00 | minNotional: 1.0000
24/05/2025 20:15:00 | RSI: 34.42 | USDT: 0.15 | DOGE: 7.00 | minNotional: 1.0000
24/05/2025 20:30:00 | RSI: 35.79 | USDT: 0.15 | DOGE: 7.00 | minNotional: 1.0000
24/05/2025 20:45:00 | RSI: 33.66 | USDT: 0.15 | DOGE: 7.00 | minNotional: 1.0000
24/05/2025 21:00:00 | RSI: 34.81 | USDT: 0.15 | DOGE: 7.00 | minNotional: 1.0000
24/05/2025 21:15:00 | RSI: 37.06 | USDT: 0.15 | DOGE: 7.00 | minNotional: 1.0000
24/05/2025 21:30:00 | RSI: 38.79 | USDT: 0.15 | DOGE: 7.00 | minNotional: 1.0000
24/05/2025 21:45:00 | RSI: 27.53 | USDT: 0.15 | DOGE: 7.00 | minNotional: 1.0000
24/05/2025 22:00:00 | RSI: 26.25 | USDT: 0.15 | DOGE: 7.00 | minNotional: 1.0000
24/05/2025 22:15:00 | RSI: 25.15 | USDT: 0.15 | DOGE: 7.00 | minNotional: 1.0000
24/05/2025 22:30:00 | RSI: 28.56 | USDT: 0.15 | DOGE: 7.00 | minNotional: 1.0000
TESTE
24/05/2025 22:40:52 | RSI: 42.30 | USDT: 1.70 | TRX: 0.00 | minNotional: 5.0000
24/05/2025 22:45:11 | RSI: 32.23 | USDT: 1.70 | ADA: 0.00 | minNotional: 5.0000
TESTE
24/05/2025 22:45:32 | RSI: 30.72 | USDT: 1.70 | DOGE: 0.00 | minNotional: 1.0000
24/05/2025 23:00:00 | RSI: 28.81 | USDT: 0.36 | DOGE: 5.99 | minNotional: 1.0000
24/05/2025 23:15:00 | RSI: 27.68 | USDT: 0.36 | DOGE: 5.99 | minNotional: 1.0000
24/05/2025 23:30:00 | RSI: 29.16 | USDT: 0.36 | DOGE: 5.99 | minNotional: 1.0000
24/05/2025 23:45:00 | RSI: 28.15 | USDT: 0.36 | DOGE: 5.99 | minNotional: 1.0000
25/05/2025 00:00:00 | RSI: 31.56 | USDT: 0.36 | DOGE: 5.99 | minNotional: 1.0000
25/05/2025 00:15:00 | RSI: 36.76 | USDT: 0.36 | DOGE: 5.99 | minNotional: 1.0000
25/05/2025 00:30:00 | RSI: 37.10 | USDT: 0.36 | DOGE: 5.99 | minNotional: 1.0000
25/05/2025 00:45:00 | RSI: 39.08 | USDT: 0.36 | DOGE: 5.99 | minNotional: 1.0000
25/05/2025 01:00:00 | RSI: 37.27 | USDT: 0.36 | DOGE: 5.99 | minNotional: 1.0000
25/05/2025 01:15:00 | RSI: 34.74 | USDT: 0.36 | DOGE: 5.99 | minNotional: 1.0000
25/05/2025 01:30:00 | RSI: 35.75 | USDT: 0.00 | DOGE: 5.99 | minNotional: 1.0000
25/05/2025 01:45:00 | RSI: 36.80 | USDT: 0.00 | DOGE: 5.99 | minNotional: 1.0000
25/05/2025 02:00:00 | RSI: 38.69 | USDT: 0.00 | DOGE: 5.99 | minNotional: 1.0000
25/05/2025 02:15:00 | RSI: 37.26 | USDT: 0.00 | DOGE: 5.99 | minNotional: 1.0000
25/05/2025 02:30:00 | RSI: 37.15 | USDT: 0.00 | DOGE: 5.99 | minNotional: 1.0000
25/05/2025 02:45:00 | RSI: 36.49 | USDT: 0.00 | DOGE: 5.99 | minNotional: 1.0000
PEPE
25/05/2025 03:00:10 | RSI: 45.30 | USDT: 1.70 | PEPE: 0.00 | minNotional: 1.0000
